Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,1_core,results_supplier_tpch_sf1,1.2508814585532622,1.238074913821183,1.265453254556283
HDFS,1_core,results_supplier_tpch_sf10,1.3682812752518805,1.337574710412882,1.3898254881929606
HDFS,1_core,results_supplier_tpch_sf100,9.381529912744163,9.239710166529752,9.529049021134153
HDFS,1_core,results_lineitem_tpch_sf1,19.75469028131474,19.332705224971285,20.117855401391164
HDFS,1_core,results_lineitem_tpch_sf10,177.3070700216029,174.62871431419254,180.01732024896518
LocalFS,1_core,results_supplier_tpch_sf1,0.0395753749513253,0.0377093351352959,0.0415396153880282
LocalFS,1_core,results_supplier_tpch_sf10,0.1524024582059308,0.1459885595180094,0.1588896106351166
LocalFS,1_core,results_supplier_tpch_sf100,8.42252829341512,8.2839647877058,8.56376230178401
LocalFS,1_core,results_lineitem_tpch_sf1,17.906345089001768,17.4804070811281,18.33585589166358
LocalFS,1_core,results_lineitem_tpch_sf10,172.34552790901688,169.74808146664128,174.73138301932903
HUDI,1_core,results_supplier_tpch_sf1,50.22767340044618,49.53501386288181,50.936641964164565
HUDI,1_core,results_supplier_tpch_sf10,59.56187132072322,58.894660308439285,60.18496163349133
HUDI,1_core,results_supplier_tpch_sf100,112.19048727828032,111.37162870838216,113.00915371269733
HUDI,1_core,results_lineitem_tpch_sf1,511.8169330835286,510.7511365417717,512.8367286401902
HUDI,1_core,results_lineitem_tpch_sf10,2715.7728571488547,2699.8806197152417,2731.952255569854
