CPU_Cores,Table_name,Mean,Low_CI,High_CI
1_core,results_supplier_tpch_sf1,47.72620139158725,47.04455279970169,48.40315602982044
1_core,results_supplier_tpch_sf10,55.90058576105595,55.24940459930897,56.554181822180745
1_core,results_supplier_tpch_sf100,89.57549200497151,88.82869154024124,90.30499843049049
1_core,results_lineitem_tpch_sf1,267.2490546142053,266.4287625582218,268.1549155602455
1_core,results_lineitem_tpch_sf10,278.0504992922206,276.2340325183826,280.0921968086979
2_core,results_supplier_tpch_sf1,48.3305130181694,47.702012956619264,48.992360554218294
2_core,results_supplier_tpch_sf10,56.336763322286615,55.562660879731176,57.11292217469215
2_core,results_supplier_tpch_sf100,89.92677054366588,89.40128165006638,90.45141115546227
2_core,results_lineitem_tpch_sf1,267.5079585782766,266.6853367056847,268.3512335007191
2_core,results_lineitem_tpch_sf10,276.96080138691633,275.71563342453186,278.2849949565042
4_core,results_supplier_tpch_sf1,48.906186641154285,48.24362074375152,49.54709126448631
4_core,results_supplier_tpch_sf10,56.052482029347416,55.36822331643104,56.682215323805806
4_core,results_supplier_tpch_sf100,89.5864792228174,89.02095615911483,90.1313601628542
4_core,results_lineitem_tpch_sf1,270.32336713628774,269.59679521965984,270.9895121566057
4_core,results_lineitem_tpch_sf10,277.6001108716768,276.0065903296417,279.14563883840304
8_core,results_supplier_tpch_sf1,48.84858548964023,48.19794785284996,49.44679979407787
8_core,results_supplier_tpch_sf10,56.84287521440983,56.31775068128109,57.36852140426636
8_core,results_supplier_tpch_sf100,90.51537646087169,90.03062305092811,90.97181890153884
8_core,results_lineitem_tpch_sf1,268.27526708895687,267.35692968153955,269.24569650340084
8_core,results_lineitem_tpch_sf10,275.7636476003818,274.27730482455445,274.2773288407147
