Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,2_core,results_supplier_tpch_sf1,0.0413260140358667,0.0393353583531861,0.043788552664162
HDFS,2_core,results_supplier_tpch_sf10,0.0569093887233198,0.0512344348287442,0.0669335636527975
HDFS,2_core,results_supplier_tpch_sf100,0.2341305494856694,0.225283772330149,0.2442605382350739
HDFS,2_core,results_lineitem_tpch_sf1,0.9083280184238206,0.8996732975113555,0.9174401258302388
HDFS,2_core,results_lineitem_tpch_sf10,11.413252488479356,11.276619854459453,11.588998595392912
LocalFS,2_core,results_supplier_tpch_sf1,0.0028736021455202,0.0027836369064461,0.0029948011852975
LocalFS,2_core,results_supplier_tpch_sf10,0.0130672030189842,0.0104119672565138,0.016102291065792
LocalFS,2_core,results_supplier_tpch_sf100,0.1997755950513121,0.1885889871488616,0.2105626905093085
LocalFS,2_core,results_lineitem_tpch_sf1,0.7476452586011577,0.7350378511067247,0.7601352136012575
LocalFS,2_core,results_lineitem_tpch_sf10,9.44693374930772,9.372079027175088,9.517531897774694
HUDI,2_core,results_supplier_tpch_sf1,0.624928461811617,0.6221021586665884,0.628229896175675
HUDI,2_core,results_supplier_tpch_sf10,2.663393965822495,2.6561674248846248,2.671668266764842
HUDI,2_core,results_supplier_tpch_sf100,8.616675379124842,8.30989380358439,8.949385165029206
HUDI,2_core,results_lineitem_tpch_sf1,33.37519257259421,33.09688725464419,33.67065370272473
HUDI,2_core,results_lineitem_tpch_sf10,33.64281012768622,33.30150936487595,34.06307215515324
