Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,1_core,results_supplier_tpch_sf1,187168.53051563672,123265.55632210894,255361.73301604216
HDFS,1_core,results_supplier_tpch_sf10,1736907.9980446957,1653919.4086388256,1811928.5779741544
HDFS,1_core,results_supplier_tpch_sf100,1856831.6722373336,1810613.1800847428,1902653.6133615985
HDFS,1_core,results_lineitem_tpch_sf1,3078512.996536319,3047839.142763866,3108694.3137197215
HDFS,1_core,results_lineitem_tpch_sf10,2610891.464254805,2592681.853920018,2626892.407638218
LocalFS,1_core,results_supplier_tpch_sf1,2384586.9914665422,1552085.5272207602,3721360.681556685
LocalFS,1_core,results_supplier_tpch_sf10,3708257.875522204,2912436.0008216463,5084757.15688202
LocalFS,1_core,results_supplier_tpch_sf100,2380403.8117328864,2295501.546397221,2462258.143267313
LocalFS,1_core,results_lineitem_tpch_sf1,3566674.545879786,3520297.9663317925,3614870.067533987
LocalFS,1_core,results_lineitem_tpch_sf10,3066626.4450533027,3033789.9696076903,3101271.6527841063
HUDI,1_core,results_supplier_tpch_sf1,15832.85189203564,15586.546421130355,16021.967418413778
HUDI,1_core,results_supplier_tpch_sf10,37734.32051472538,37611.40881016091,37839.75149289286
HUDI,1_core,results_supplier_tpch_sf100,116328.20442612904,112353.50634979768,119890.44733593849
HUDI,1_core,results_lineitem_tpch_sf1,178946.12098768278,177169.28547967892,180511.5934999202
HUDI,1_core,results_lineitem_tpch_sf10,1780535.6338438315,1760219.7468222429,1798419.6241497518
