Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,4_core,results_supplier_tpch_sf1,0.0433615131114574,0.0392260971599316,0.050923325145879
HDFS,4_core,results_supplier_tpch_sf10,0.055409917958792,0.0537805815401661,0.0578947421162447
HDFS,4_core,results_supplier_tpch_sf100,0.1884750382283353,0.1515754592313896,0.2518918976926361
HDFS,4_core,results_lineitem_tpch_sf1,0.5312495977355808,0.5077846286637941,0.571052253654605
HDFS,4_core,results_lineitem_tpch_sf10,5.580110563884915,5.54397675392218,5.619368439502316
LocalFS,4_core,results_supplier_tpch_sf1,0.0026874921898461,0.0025942021346708,0.0027991987567801
LocalFS,4_core,results_supplier_tpch_sf10,0.0092328562176983,0.0085208425438904,0.0102009998639404
LocalFS,4_core,results_supplier_tpch_sf100,0.0897177418119925,0.0838811993869894,0.0950340822582365
LocalFS,4_core,results_lineitem_tpch_sf1,0.3702110125932737,0.3601886541358544,0.3803258967811998
LocalFS,4_core,results_lineitem_tpch_sf10,4.810234282176038,4.793381424740306,4.827890808532626
HUDI,4_core,results_supplier_tpch_sf1,0.6358393639061601,0.623522895777598,0.6590831960113719
HUDI,4_core,results_supplier_tpch_sf10,2.639850454596728,2.6334936681007965,2.646231332661584
HUDI,4_core,results_supplier_tpch_sf100,8.7523828058549,8.507256259571761,9.01383114182204
HUDI,4_core,results_lineitem_tpch_sf1,33.4528699492085,33.1946123330947,33.75646668325085
HUDI,4_core,results_lineitem_tpch_sf10,33.6524571154554,33.2701635542616,34.03900028781385
