Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,4_core,results_supplier_tpch_sf1,230619.25847227185,254932.32118475277,0.050923325145879
HDFS,4_core,results_supplier_tpch_sf10,1804731.0605002043,1859407.1900340992,0.0578947421162447
HDFS,4_core,results_supplier_tpch_sf100,5305742.391141005,6597374.041093527,0.2518918976926361
HDFS,4_core,results_lineitem_tpch_sf1,11294126.199011983,11816033.13946043,0.571052253654605
HDFS,4_core,results_lineitem_tpch_sf10,10752475.119100068,10822556.201656507,5.619368439502316
LocalFS,4_core,results_supplier_tpch_sf1,3720941.0459989663,3854749.7384081,0.0027991987567801
LocalFS,4_core,results_supplier_tpch_sf10,10830884.57592481,11735928.6343933,0.0102009998639404
LocalFS,4_core,results_supplier_tpch_sf100,11146067.431072265,11921622.57225792,0.0950340822582365
LocalFS,4_core,results_lineitem_tpch_sf1,16206973.3095482,16657937.253450926,0.3803258967811998
LocalFS,4_core,results_lineitem_tpch_sf10,12473404.927973151,12517259.671913268,4.827890808532626
HUDI,4_core,results_supplier_tpch_sf1,15727.242708861042,16037.903447842053,0.6590831960113719
HUDI,4_core,results_supplier_tpch_sf10,37880.93368163021,37972.371534926555,2.646231332661584
HUDI,4_core,results_supplier_tpch_sf100,114254.60039648296,117546.7118290778,9.01383114182204
HUDI,4_core,results_lineitem_tpch_sf1,179356.80882118043,180752.22387875456,33.75646668325085
HUDI,4_core,results_lineitem_tpch_sf10,1782930.732045836,1803417.6448259316,34.03900028781385
